"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1","Glen Canyon National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2007-01-01,2007
"2","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2007-01-22,2007
"3","Golden Gate National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Vessel Related",2007-01-22,2007
"4","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","15-24","Driving",2007-01-29,2007
"5","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","45-54","Driving",2007-01-29,2007
"6","Gateway National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2007-02-07,2007
"7","Black Canyon Of The Gunnison National Park","Fall","Fall","Unintentional","Fatal injury","Female","15-24","Not Reported",2007-02-10,2007
"8","Big South Fork National River and Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2007-02-11,2007
"9","Mount Rainier National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","45-54","Skiing",2007-02-24,2007
"10","Biscayne National Park","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Male","25-34","Diving - Scuba",2007-03-03,2007
"11","Delaware Water Gap National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2007-03-06,2007
"12","Gateway National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2007-03-07,2007
"13","Colorado National Monument","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2007-03-14,2007
"14","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","0-14","Driving",2007-03-14,2007
"15","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","45-54","Hiking",2007-03-19,2007
"16","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Hiking",2007-03-19,2007
"17","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Other",2007-03-23,2007
"18","Mount Rainier National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","35-44","Other",2007-03-23,2007
"19","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","35-44","Vessel Related",2007-03-27,2007
"20","Glen Canyon National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2007-03-29,2007
"21","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2007-03-31,2007
"22","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2007-04-02,2007
"23","Olympic National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Vessel Related",2007-04-05,2007
"24","Glen Canyon National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Driving",2007-04-06,2007
"25","North Cascades National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2007-04-08,2007
"26","Redwood National and State Parks","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Fishing",2007-04-10,2007
"27","Death Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2007-04-14,2007
"28","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2007-04-15,2007
"29","Yosemite National Park","Fall","Fall","Unintentional","Fatal injury","Female","35-44","Climbing",2007-04-19,2007
"30","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Female","35-44","Climbing",2007-04-23,2007
"31","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2007-04-23,2007
"32","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2007-04-23,2007
"33","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2007-04-30,2007
"34","Grand Teton National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Climbing",2007-04-30,2007
"35","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-05-03,2007
"36","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-05-03,2007
"37","Big Thicket National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-05-14,2007
"38","Golden Gate National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2007-05-15,2007
"39","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2007-05-16,2007
"40","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2007-05-16,2007
"41","Golden Gate National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Not Reported",2007-05-16,2007
"42","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Climbing",2007-05-17,2007
"43","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Female","35-44","Climbing",2007-05-17,2007
"44","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Female","55-64","Not Reported",2007-05-17,2007
"45","Yosemite National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Not Reported",2007-05-19,2007
"46","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-05-21,2007
"47","Gulf Islands National Seashore","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Female","35-44","Vessel Related",2007-05-27,2007
"48","Olympic National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2007-05-28,2007
"49","Haleakala National Park","Bicycle only crash","Other Transportation","Unintentional","Fatal injury","Male","0-14","Bicycling",2007-05-29,2007
"50","Acadia National Park","Drowning","Drowning","Unintentional","Fatal injury","Female","55-64","Not Reported",2007-06-01,2007
"51","Curecanti National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Not Reported",2007-06-02,2007
"52","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2007-06-03,2007
"53","Chickasaw National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2007-06-03,2007
"54","Great Smoky Mountains National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-06-04,2007
"55","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Canyoneering",2007-06-04,2007
"56","Zion National Park","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Not Reported",2007-06-08,2007
"57","Golden Gate National Recreation Area","Poisoning - Drugs","Poisoning","Unintentional","Fatal injury","Male","45-54","Not Reported",2007-06-09,2007
"58","Cape Cod National Seashore","Undetermined","Undetermined","Undetermined","Fatal injury","Male","55-64","Playing Sports",2007-06-09,2007
"59","Lake Meredith National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-06-10,2007
"60","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2007-06-10,2007
"61","Lake Mead National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Vessel Related",2007-06-14,2007
"62","Point Reyes National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2007-06-16,2007
"63","Yosemite National Park","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Climbing",2007-06-16,2007
"64","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Hiking",2007-06-16,2007
"65","Grand Teton National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","55-64","Driving",2007-06-16,2007
"66","Golden Gate National Recreation Area","Poisoning - Drugs","Poisoning","Unintentional","Fatal injury","Male","Not Reported","Not Reported",2007-06-16,2007
"67","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-06-17,2007
"68","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Climbing",2007-06-18,2007
"69","Whiskeytown National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Vessel Related",2007-06-22,2007
"70","Apostle Islands National Lakeshore","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2007-06-22,2007
"71","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2007-07-01,2007
"72","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Swimming",2007-07-04,2007
"73","Delaware Water Gap National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Female","35-44","Not Reported",2007-07-05,2007
"74","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2007-07-05,2007
"75","Buffalo National River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-07-06,2007
"76","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2007-07-07,2007
"77","Glen Canyon National Recreation Area","Poisoning - Carbon monoxide","Poisoning","Unintentional","Fatal injury","Female","0-14","Swimming",2007-07-07,2007
"78","Channel Islands National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Not Reported",2007-07-10,2007
"79","Yosemite National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2007-07-11,2007
"80","National Capital Parks-East","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-07-13,2007
"81","Colonial National Historical Park","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Swimming",2007-07-19,2007
"82","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2007-07-26,2007
"83","North Cascades National Park","Fall","Fall","Unintentional","Fatal injury","Female","55-64","Not Reported",2007-07-28,2007
"84","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2007-08-02,2007
"85","Badlands National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2007-08-04,2007
"86","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-08-05,2007
"87","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2007-08-06,2007
"88","Wind Cave National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-08-07,2007
"89","Gauley River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2007-08-11,2007
"90","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2007-08-12,2007
"91","Yosemite National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Female","65+","Not Reported",2007-08-14,2007
"92","Haleakala National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2007-08-16,2007
"93","Haleakala National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","55-64","Driving",2007-08-16,2007
"94","Haleakala National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","65+","Driving",2007-08-16,2007
"95","Lake Roosevelt National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2007-08-17,2007
"96","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-08-19,2007
"97","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Female","Not Reported","Not Reported",2007-08-19,2007
"98","Glen Canyon National Recreation Area","Firearm","Other","Unintentional","Fatal injury","Male","Not Reported","Hunting",2007-08-19,2007
"99","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal injury","Male","35-44","Not Reported",2007-08-21,2007
"100","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2007-08-23,2007
"101","Glen Canyon National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Male","15-24","Vessel Related",2007-08-24,2007
"102","Point Reyes National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2007-08-25,2007
"103","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Not Reported","Not Reported","Vessel Related",2007-08-25,2007
"104","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2007-09-01,2007
"105","Lake Roosevelt National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2007-09-04,2007
"106","Yellowstone National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2007-09-07,2007
"107","Yellowstone National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2007-09-07,2007
"108","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Bicycling",2007-09-08,2007
"109","Glen Echo Park","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Swimming",2007-09-12,2007
"110","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2007-09-19,2007
"111","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","15-24","Driving",2007-09-19,2007
"112","Biscayne National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Diving - Scuba",2007-09-23,2007
"113","Haleakala National Park","Bicycle only crash","Other Transportation","Unintentional","Fatal injury","Female","65+","Bicycling",2007-09-26,2007
"114","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","55-64","Vessel Related",2007-09-28,2007
"115","Yellowstone National Park","Fall","Fall","Unintentional","Fatal injury","Female","25-34","Not Reported",2007-09-28,2007
"116","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2007-09-29,2007
"117","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Swimming",2007-09-29,2007
"118","New River Gorge National River","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Not Reported",2007-09-29,2007
"119","Katmai National Park & Preserve","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Not Reported","Not Reported","Flying",2007-09-30,2007
"120","Katmai National Park & Preserve","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Not Reported","Not Reported","Flying",2007-09-30,2007
"121","Katmai National Park & Preserve","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Not Reported","Not Reported","Flying",2007-09-30,2007
"122","Katmai National Park & Preserve","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Not Reported","Not Reported","Flying",2007-09-30,2007
"123","Gauley River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Vessel Related",2007-10-05,2007
"124","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2007-10-05,2007
"125","Haleakala National Park","Fall","Fall","Unintentional","Fatal injury","Male","25-34","Not Reported",2007-10-06,2007
"126","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Not Reported",2007-10-08,2007
"127","Grand Canyon National Park","Fall","Fall","Unintentional","Fatal injury","Female","0-14","Not Reported",2007-10-09,2007
"128","Gila Cliff Dwellings National Monument","Undetermined","Undetermined","Undetermined","Fatal injury","Male","25-34","Not Reported",2007-10-14,2007
"129","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2007-10-19,2007
"130","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2007-10-22,2007
"131","Cape Lookout National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2007-11-06,2007
"132","Yosemite National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Male","35-44","Not Reported",2007-11-11,2007
"133","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","45-54","Driving",2007-11-23,2007
"134","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2007-11-25,2007
"135","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","25-34","Driving",2007-11-25,2007
"136","Yellowstone National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","Not Reported","Driving",2007-11-25,2007
"137","Rocky Mountain National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","65+","Not Reported",2007-11-27,2007
"138","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2007-12-08,2007
"139","Mount Rainier National Park","Avalanche","Environmental","Unintentional","Fatal injury","Male","15-24","Snowshoeing",2007-12-18,2007
"140","Mount Rainier National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Not Reported",2007-12-18,2007
"141","Death Valley National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","25-34","Driving",2007-12-29,2007
"142","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","35-44","Not Reported",2007-12-29,2007
"143","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","15-24","Driving",2008-01-05,2008
"144","Biscayne National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2008-01-26,2008
"145","Sequoia & Kings Canyon National Parks","Avalanche","Environmental","Unintentional","Fatal injury","Male","35-44","Skiing",2008-01-28,2008
"146","Sequoia & Kings Canyon National Parks","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2008-01-29,2008
"147","Chickamauga & Chattanooga National Military Park","Horseback riding incident","Other Transportation","Unintentional","Fatal injury","Female","55-64","Horseback (or mule) riding",2008-01-30,2008
"148","Lake Mead National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-02-08,2008
"149","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal injury","Not Reported","35-44","Diving - Scuba",2008-02-09,2008
"150","Yosemite National Park","Fall","Fall","Unintentional","Fatal injury","Male","0-14","Hiking",2008-02-16,2008
"151","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-02-25,2008
"152","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2008-02-27,2008
"153","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2008-02-29,2008
"154","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2008-03-03,2008
"155","Gateway National Recreation Area","Firearm","Other","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2008-03-15,2008
"156","Gateway National Recreation Area","Firearm","Other","Unintentional","Fatal injury","Not Reported","Not Reported","Not Reported",2008-03-15,2008
"157","Haleakala National Park","Poisoning - Drugs","Poisoning","Unintentional","Fatal injury","Male","15-24","Camping",2008-03-15,2008
"158","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Vessel Related",2008-03-17,2008
"159","Mount Rainier National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","45-54","Not Reported",2008-03-19,2008
"160","Shenandoah National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","Not Reported","Not Reported",2008-03-26,2008
"161","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2008-04-03,2008
"162","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2008-04-03,2008
"163","Golden Gate National Recreation Area","Fall","Fall","Unintentional","Fatal injury","Female","15-24","Not Reported",2008-04-14,2008
"164","Little River Canyon National Preserve","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","35-44","Flying",2008-04-18,2008
"165","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2008-04-26,2008
"166","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2008-04-26,2008
"167","North Cascades National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","25-34","Not Reported",2008-05-02,2008
"168","Suitland","Undetermined","Undetermined","Undetermined","Fatal injury","Male","15-24","Not Reported",2008-05-02,2008
"169","Big Thicket National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-05-03,2008
"170","Buffalo National River","Drowning","Drowning","Unintentional","Fatal injury","Male","0-14","Vessel Related",2008-05-04,2008
"171","Pinnacles National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2008-05-05,2008
"172","North Cascades National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","55-64","Flying",2008-05-17,2008
"173","North Cascades National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2008-05-17,2008
"174","Chickasaw National Recreation Area","Vessel Incident","Other Transportation","Unintentional","Fatal injury","Male","15-24","Vessel Related",2008-05-17,2008
"175","Redwood National and State Parks","Drowning","Drowning","Unintentional","Fatal injury","Male","35-44","Vessel Related",2008-05-20,2008
"176","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","Not Reported","Vessel Related",2008-05-20,2008
"177","New River Gorge National River","Drowning","Drowning","Unintentional","Fatal injury","Male","65+","Vessel Related",2008-05-23,2008
"178","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2008-05-23,2008
"179","George Washington Memorial Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","15-24","Driving",2008-05-26,2008
"180","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2008-05-27,2008
"181","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-05-29,2008
"182","Curecanti National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","55-64","Vessel Related",2008-05-31,2008
"183","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","25-34","Driving",2008-05-31,2008
"184","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2008-06-01,2008
"185","Little River Canyon National Preserve","Drowning","Drowning","Unintentional","Fatal injury","Female","0-14","Swimming",2008-06-01,2008
"186","Canyonlands National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","45-54","Flying",2008-06-02,2008
"187","Canyonlands National Park","Aircraft Incident","Other Transportation","Unintentional","Fatal injury","Male","65+","Flying",2008-06-02,2008
"188","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","65+","Driving",2008-06-04,2008
"189","Gulf Islands National Seashore","Drowning","Drowning","Unintentional","Fatal injury","Female","45-54","Swimming",2008-06-06,2008
"190","Buffalo National River","Drowning","Drowning","Unintentional","Fatal injury","Female","35-44","Swimming",2008-06-07,2008
"191","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Female","45-54","Swimming",2008-06-08,2008
"192","Canyonlands National Park","Fall","Fall","Unintentional","Fatal injury","Male","55-64","Camping",2008-06-08,2008
"193","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2008-06-09,2008
"194","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Not Reported",2008-06-09,2008
"195","Mount Rainier National Park","Undetermined","Undetermined","Undetermined","Fatal injury","Male","25-34","Climbing",2008-06-09,2008
"196","Mount Rainier National Park","Hypothermia","Environmental","Unintentional","Fatal injury","Male","25-34","Hiking",2008-06-10,2008
"197","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2008-06-13,2008
"198","Canyonlands National Park","Fall","Fall","Unintentional","Fatal injury","Male","65+","Not Reported",2008-06-14,2008
"199","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-06-15,2008
"200","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2008-06-15,2008
"201","Saguaro National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Male","Not Reported","Driving",2008-06-21,2008
"202","Grand Teton National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Not Reported","Not Reported","Driving",2008-06-23,2008
"203","Glen Canyon National Recreation Area","Poisoning - Carbon monoxide","Poisoning","Unintentional","Fatal injury","Not Reported","Not Reported","Camping",2008-06-24,2008
"204","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Fishing",2008-06-25,2008
"205","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-06-25,2008
"206","Mammoth Cave National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal injury","Female","35-44","Driving",2008-06-28,2008
"207","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-06-29,2008
"208","Saguaro National Park","Bicycle only crash","Other Transportation","Unintentional","Fatal injury","Male","35-44","Bicycling",2008-06-30,2008
"209","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-07-04,2008
"210","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal injury","Male","25-34","Swimming",2008-07-04,2008
"211","Mount Rainier National Park","Fall","Fall","Unintentional","Fatal injury","Male","15-24","Climbing",2008-07-04,2008
"212","Denali National Park & Preserve","Fall","Fall","Unintentional","Fatal injury","Male","45-54","Climbing",2008-07-04,2008
"213","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","45-54","Swimming",2008-07-05,2008
"214","Big South Fork National River and Recreation Area","Drowning","Drowning","Unintentional","Fatal injury","Male","15-24","Swimming",2008-07-07,2008
