"","park","death_cause","death_group","intent","outcome","sex","age_range","activity","incident_date","year"
"1956","Gateway National Recreation Area","Homicide","Homicide","Intentional","Fatal injury","Female","25-34","Homicide",2016-08-02,2016
"1957","Anacostia Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Female","Not Reported","Not Reported",2016-08-02,2016
"1958","Gateway National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Not Reported",2016-08-05,2016
"1959","Curecanti National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Not Reported",2016-08-05,2016
"1960","Baltimore-Washington Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","35-44","Driving",2016-08-06,2016
"1961","Yellowstone National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2016-08-06,2016
"1962","Blue Ridge Parkway","Bicycle only crash","Other Transportation","Unintentional","Fatal injury","Male","65+","Bicycling",2016-08-07,2016
"1963","Indiana Dunes National Park","Poisoning - alcohol","Poisoning","Unintentional","Fatal Injury","Male","35-44","Camping",2016-08-07,2016
"1964","Crater Lake National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Driving",2016-08-08,2016
"1965","Apostle Islands National Lakeshore","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Wading",2016-08-10,2016
"1966","Great Smoky Mountains National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-08-10,2016
"1967","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Female","55-64","Swimming",2016-08-11,2016
"1968","Lake Roosevelt National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","Not Reported","Swimming",2016-08-13,2016
"1969","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Swimming",2016-08-13,2016
"1970","Joshua Tree National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Female","55-64","Hiking",2016-08-13,2016
"1971","Mount Rainier National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","45-54","Hiking",2016-08-13,2016
"1972","Gulf Islands National Seashore","Suicide","Suicide","Intentional","Fatal Injury","Male","35-44","Suicide",2016-08-13,2016
"1973","Golden Gate National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Vessel Related",2016-08-14,2016
"1974","Colonial National Historical Park","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2016-08-14,2016
"1975","Olympic National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Vessel Related",2016-08-17,2016
"1976","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","55-64","Suicide",2016-08-17,2016
"1977","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-08-18,2016
"1978","Big Thicket National Preserve","Fall","Fall","Unintentional","Fatal Injury","Male","65+","Other",2016-08-20,2016
"1979","Arches National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-08-21,2016
"1980","Gateway National Recreation Area","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","55-64","Not Reported",2016-08-21,2016
"1981","Hopewell Culture National Historical Park","Suicide","Suicide","Intentional","Fatal Injury","Male","25-34","Suicide",2016-08-22,2016
"1982","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Female","25-34","Swimming",2016-08-23,2016
"1983","Assateague Island National Seashore","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Female","65+","Other",2016-08-23,2016
"1984","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","15-24","Suicide",2016-08-24,2016
"1985","Yellowstone National Park","Fall","Fall","Unintentional","Fatal Injury","Female","15-24","Walking",2016-08-26,2016
"1986","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Wildlife watching",2016-08-26,2016
"1987","Upper Delaware Scenic & Recreational River","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-08-27,2016
"1988","Sequoia & Kings Canyon National Parks","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-08-27,2016
"1989","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","55-64","Driving",2016-08-27,2016
"1990","Lake Mead National Recreation Area","Water diving incident","Environmental","Unintentional","Fatal Injury","Male","45-54","Diving - Scuba",2016-08-27,2016
"1991","Death Valley National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Female","35-44","Walking",2016-08-28,2016
"1992","Lake Mead National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Female","55-64","Snorkeling",2016-08-28,2016
"1993","Assateague Island National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Swimming",2016-08-30,2016
"1994","Glacier National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Climbing",2016-08-30,2016
"1995","Grand Teton National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Climbing",2016-08-31,2016
"1996","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Walking",2016-08-31,2016
"1997","Blue Ridge Parkway","Hypothermia","Environmental","Unintentional","Fatal Injury","Male","Not Reported","Not Reported",2016-09-01,2016
"1998","Great Smoky Mountains National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-09-01,2016
"1999","Missouri National Recreational River","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-09-04,2016
"2000","Acadia National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-09-04,2016
"2001","Sleeping Bear Dunes National Lakeshore","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Vessel Related",2016-09-05,2016
"2002","Chattahoochee River National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-09-05,2016
"2003","Yosemite National Park","Fall","Fall","Unintentional","Fatal Injury","Male","15-24","Climbing",2016-09-05,2016
"2004","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","25-34","Driving",2016-09-05,2016
"2005","George Washington Memorial Parkway","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2016-09-05,2016
"2006","Cuyahoga Valley National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","65+","Suicide",2016-09-06,2016
"2007","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Female","25-34","Climbing",2016-09-07,2016
"2008","Wind Cave National Park","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-09-07,2016
"2009","Bandelier National Monument","Suicide","Suicide","Intentional","Fatal Injury","Male","55-64","Suicide",2016-09-08,2016
"2010","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Swimming",2016-09-09,2016
"2011","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","65+","Swimming",2016-09-09,2016
"2012","Blue Ridge Parkway","Homicide","Homicide","Intentional","Fatal injury","Female","0-14","Homicide",2016-09-09,2016
"2013","Blue Ridge Parkway","Homicide","Homicide","Intentional","Fatal injury","Not Reported","Not Reported","Homicide",2016-09-09,2016
"2014","Glen Canyon National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Female","0-14","Vessel Related",2016-09-10,2016
"2015","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","65+","Other",2016-09-10,2016
"2016","Delaware Water Gap National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-09-11,2016
"2017","Grand Canyon National Park","Drowning","Drowning","Unintentional","Fatal Injury","Male","25-34","Vessel Related",2016-09-11,2016
"2018","Canyonlands National Park","Fall","Fall","Unintentional","Fatal Injury","Female","25-34","Hiking",2016-09-11,2016
"2019","Yellowstone National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2016-09-11,2016
"2020","Great Smoky Mountains National Park","Fall","Fall","Unintentional","Fatal Injury","Female","65+","Photographing",2016-09-12,2016
"2021","Gateway National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Female","Not Reported","Not Reported",2016-09-14,2016
"2022","Yosemite National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","55-64","Other",2016-09-16,2016
"2023","Buffalo National River","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-09-16,2016
"2024","Everglades National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","45-54","Not Reported",2016-09-16,2016
"2025","Lake Mead National Recreation Area","Drowning","Drowning","Unintentional","Fatal Injury","Male","35-44","Vessel Related",2016-09-17,2016
"2026","Sequoia & Kings Canyon National Parks","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-09-17,2016
"2027","Saguaro National Park","Hyperthermia","Environmental","Unintentional","Fatal Injury","Male","55-64","Hiking",2016-09-17,2016
"2028","Yellowstone National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-09-19,2016
"2029","Crater Lake National Park","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","55-64","Not Reported",2016-09-19,2016
"2030","Curecanti National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-09-19,2016
"2031","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Male","45-54","Climbing",2016-09-20,2016
"2032","Rocky Mountain National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Female","55-64","Other",2016-09-22,2016
"2033","Chesapeake & Ohio Canal National Historical Park","Medical - Unknown","Medical - Unknown","Medical","Fatal Injury","Male","Not Reported","Not Reported",2016-09-24,2016
"2034","Padre Island National Seashore","Homicide","Homicide","Intentional","Fatal injury","Male","45-54","Homicide",2016-09-25,2016
"2035","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","25-34","Driving",2016-09-26,2016
"2036","Cuyahoga Valley National Park","Suicide","Suicide","Intentional","Fatal Injury","Male","15-24","Suicide",2016-09-26,2016
"2037","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","45-54","Driving",2016-09-28,2016
"2038","Gateway National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","25-34","Suicide",2016-09-30,2016
"2039","Rocky Mountain National Park","Fall","Fall","Unintentional","Fatal Injury","Male","55-64","Hiking",2016-10-01,2016
"2040","Sequoia & Kings Canyon National Parks","Fall","Fall","Unintentional","Fatal Injury","Female","15-24","Hiking",2016-10-01,2016
"2041","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","55-64","Swimming",2016-10-02,2016
"2042","Bandelier National Monument","Falling tree/branch","Environmental","Unintentional","Fatal Injury","Female","65+","Other",2016-10-03,2016
"2043","Yellowstone National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Driving",2016-10-05,2016
"2044","Golden Gate National Recreation Area","Suicide","Suicide","Intentional","Fatal Injury","Female","35-44","Suicide",2016-10-06,2016
"2045","Rocky Mountain National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Driving",2016-10-07,2016
"2046","Natchez Trace Parkway","Suicide","Suicide","Intentional","Fatal Injury","Female","45-54","Suicide",2016-10-08,2016
"2047","Blue Ridge Parkway","Fall","Fall","Unintentional","Fatal Injury","Female","15-24","Hiking",2016-10-09,2016
"2048","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-10-09,2016
"2049","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","45-54","Vessel Related",2016-10-11,2016
"2050","Suitland","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","65+","Driving",2016-10-11,2016
"2051","Natchez Trace Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Female","15-24","Driving",2016-10-11,2016
"2052","Lake Meredith National Recreation Area","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2016-10-12,2016
"2053","Grand Canyon National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","55-64","Other",2016-10-12,2016
"2054","Cape Hatteras National Seashore","Drowning","Drowning","Unintentional","Fatal Injury","Male","15-24","Swimming",2016-10-13,2016
"2055","Blue Ridge Parkway","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","55-64","Driving",2016-10-14,2016
"2056","New River Gorge National River","Suicide","Suicide","Intentional","Fatal Injury","Male","65+","Suicide",2016-10-14,2016
"2057","Yellowstone National Park","Undetermined","Undetermined","Undetermined","Fatal Injury","Not Reported","Not Reported","Not Reported",2016-10-15,2016
"2058","Golden Gate National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-10-18,2016
"2059","Golden Gate National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-10-18,2016
"2060","Golden Gate National Recreation Area","Motor Vehicle Crash","Motor Vehicle Crash","Unintentional","Fatal Injury","Male","15-24","Driving",2016-10-18,2016
"2061","Cape Hatteras National Seashore","Undetermined","Undetermined","Undetermined","Fatal Injury","Male","65+","Vessel Related",2016-10-19,2016
"2062","Glen Canyon National Recreation Area","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","35-44","Not Reported",2016-10-22,2016
"2063","Arches National Park","Medical - During physical activity","Medical - During physical activity","Medical","Fatal Injury","Male","65+","Hiking",2016-10-24,2016
"2064","Big Bend National Park","Medical - Not during physical activity","Medical - Not during physical activity","Medical","Fatal Injury","Male","65+","Sleeping",2016-10-24,2016
